Code_DPT;Libelle_DPT;Partitipation;abstentitons;votes1;votes2
02;Aisne;Cuiry-Housse;70;15;31;30
02;Aisne;Dolignon;42;5;22;17
02;Aisne;Dorengt;83;20;42;36
02;Aisne;Eparcy;34;9;25;8
02;Aisne;Essigny-le-Grand;758;183;351;349
02;Aisne;Fayet;501;94;315;151
02;Aisne;Francilly-Selency;315;84;152;138
02;Aisne;Gibercourt;22;5;13;8
02;Aisne;Gronard;38;8;21;13
02;Aisne;Largny-sur-Automne;145;43;73;58
02;Aisne;Louâtre;140;28;67;65
02;Aisne;Lucy-le-Bocage;121;23;65;48
02;Aisne;Marcy;124;24;66;51
02;Aisne;Mesnil-Saint-Laurent;307;61;144;141
02;Aisne;Monampteuil;90;19;44;34
02;Aisne;Montgobert;130;22;74;46
02;Aisne;Montgru-Saint-Hilaire;23;9;15;8
02;Aisne;Monthurel;88;19;46;38
02;Aisne;Montigny-lès-Condé;43;14;21;20
02;Aisne;Nouvion-le-Vineux;112;23;54;48
02;Aisne;Oigny-en-Valois;134;15;68;59
02;Aisne;Orgeval;51;5;25;19
02;Aisne;Pargnan;46;15;20;19
02;Aisne;Le Plessier-Huleu;57;11;33;22
02;Aisne;Pommiers;416;116;199;180
02;Aisne;Pontruet;237;36;110;99
02;Aisne;Presles-et-Thierny;247;55;125;101
02;Aisne;Quincy-Basse;34;10;18;16
02;Aisne;Remaucourt;191;33;93;84
02;Aisne;Roucy;224;56;118;92
02;Aisne;Rouvroy;340;68;156;142
02;Aisne;Saint-Nicolas-aux-Bois;79;15;33;32
02;Aisne;Saint-Pierre-Aigle;217;40;103;102
02;Aisne;Saint-Pierre-lès-Franqueville;37;6;21;15
02;Aisne;Sainte-Preuve;56;9;30;21
02;Aisne;Saint-Thomas;52;11;31;20
02;Aisne;Silly-la-Poterie;75;39;43;30
02;Aisne;Soissons;10833;6065;5251;4820
02;Aisne;Tannières;16;0;9;7
02;Aisne;Trefcon;55;10;30;23
02;Aisne;Vaucelles-et-Beffecourt;176;25;89;71
02;Aisne;Vézilly;126;27;61;58
02;Aisne;Voharies;52;13;27;23
02;Aisne;Vorges;285;29;144;118
03;Allier;Agonges;194;45;78;76
03;Allier;Arpheuilles-Saint-Priest;228;51;117;80
03;Allier;Arronnes;258;67;124;101
03;Allier;Avermes;2468;721;1309;882
03;Allier;Avrilly;98;28;50;31
03;Allier;Bègues;148;44;73;57
03;Allier;Bellerive-sur-Allier;4752;1562;2621;1708
03;Allier;Besson;531;117;255;220
03;Allier;Bizeneuille;192;38;92;81
03;Allier;Bourbon-l'Archambault;1356;469;624;506
03;Allier;Bransat;319;86;139;137
03;Allier;Bressolles;807;171;407;312
03;Allier;Le Brethon;214;64;106;89
03;Allier;Brugheas;962;227;438;421
03;Allier;Cérilly;723;268;356;267
03;Allier;La Chabanne;119;60;51;49
03;Allier;Chantelle;641;205;311;261
03;Allier;La Chapelle;258;85;132;103
03;Allier;La Chapelle-aux-Chasses;127;30;61;54
03;Allier;Château-sur-Allier;110;30;51;50
03;Allier;Châtel-de-Neuvre;315;109;147;133
03;Allier;Châtel-Montagne;209;73;98;88
03;Allier;Chavenon;100;17;47;43
03;Allier;Chevagnes;389;134;193;160
03;Allier;Chézy;147;41;74;59
03;Allier;Chirat-l'Eglise;76;21;35;32
03;Allier;Chouvigny;179;55;90;71
03;Allier;Cognat-Lyonne;432;114;212;173
03;Allier;Cosne-d'Allier;1144;364;524;487
03;Allier;Coutansouze;104;20;48;35
03;Allier;Creuzier-le-Neuf;750;131;347;345
03;Allier;Creuzier-le-Vieux;2267;607;1195;822
03;Allier;Cusset;6421;2152;3379;2435
03;Allier;Deneuille-lès-Chantelle;61;18;33;22
03;Allier;Désertines;2582;751;1190;1059
03;Allier;Deux-Chaises;248;51;128;91
03;Allier;Domérat;5131;1913;2270;2239
03;Allier;Dompierre-sur-Besbre;1734;614;782;749
03;Allier;Ebreuil;692;200;366;244
03;Allier;Echassières;198;66;104;73
03;Allier;Espinasse-Vozelle;589;136;260;258
03;Allier;Ferrières-sur-Sichon;324;79;144;141
03;Allier;Fleuriel;217;46;99;92
03;Allier;Fourilles;152;28;77;60
03;Allier;Gannat;2972;1253;1367;1297
03;Allier;Gannay-sur-Loire;269;70;156;95
03;Allier;Gipcy;146;31;62;58
03;Allier;Hérisson;353;81;178;116
03;Allier;Hyds;219;61;97;95
03;Allier;Jenzat;350;68;172;131
03;Allier;Laféline;124;26;61;50
03;Allier;Lavault-Sainte-Anne;621;226;316;224
03;Allier;Lavoine;137;43;74;39
03;Allier;Liernolles;140;25;68;52
03;Allier;Lignerolles;466;127;204;193
03;Allier;Limoise;101;24;51;41
03;Allier;Louchy-Montfand;304;73;147;109
03;Allier;Louroux-de-Beaune;126;31;67;41
03;Allier;Louroux-de-Bouble;136;60;63;61
03;Allier;Lusigny;981;237;499;381
03;Allier;Marcillat-en-Combraille;575;148;306;216
03;Allier;Marigny;135;31;72;49
03;Allier;Le Mayet-de-Montagne;770;256;367;318
03;Allier;Mazerier;214;34;109;83
03;Allier;Mazirat;184;64;88;71
03;Allier;Meillard;184;41;97;65
03;Allier;Meillers;95;11;63;21
03;Allier;Molinet;705;152;329;325
03;Allier;Monétay-sur-Allier;356;84;166;152
03;Allier;Monétay-sur-Loire;198;46;88;85
03;Allier;Montluçon;14752;6685;7305;5812
03;Allier;Montord;128;44;62;57
03;Allier;Moulins;8363;4500;4575;2981
03;Allier;Murat;158;44;66;54
03;Allier;Nassigny;122;16;57;52
03;Allier;Néris-les-Bains;1438;504;768;497
03;Allier;Neuilly-en-Donjon;135;41;58;57
03;Allier;Neuilly-le-Réal;931;278;467;364
03;Allier;Neuvy;998;219;575;313
03;Allier;Noyant-d'Allier;368;107;175;146
03;Allier;La Petite-Marche;120;27;66;47
03;Allier;Poëzat;108;18;50;47
03;Allier;Prémilhat;1432;470;740;541
03;Allier;Saint-Angel;508;114;230;222
03;Allier;Saint-Aubin-le-Monial;167;55;77;70
03;Allier;Saint-Bonnet-de-Rochefort;434;108;207;182
