43;Haute-Loire;;339;85;161;136
43;Haute-Loire;;2039;573;1016;802
43;Haute-Loire;;43;12;26;9
43;Haute-Loire;;1594;441;741;716
43;Haute-Loire;;1852;617;998;671
43;Haute-Loire;;108;21;51;44
43;Haute-Loire;;250;58;104;98
43;Haute-Loire;;540;80;250;223
43;Haute-Loire;;93;27;49;24
43;Haute-Loire;;88;21;42;35
43;Haute-Loire;;101;36;52;29
43;Haute-Loire;;530;117;237;227
43;Haute-Loire;;2014;751;1014;749
43;Haute-Loire;;176;49;114;41
43;Haute-Loire;;201;68;98;84
43;Haute-Loire;;447;129;218;193
43;Haute-Loire;;92;17;44;30
43;Haute-Loire;;728;259;426;216
43;Haute-Loire;;114;26;51;46
43;Haute-Loire;;164;55;72;68
43;Haute-Loire;;5461;1610;2517;2425
43;Haute-Loire;;469;80;242;167
43;Haute-Loire;;87;24;41;37
43;Haute-Loire;;1909;457;984;720
43;Haute-Loire;;81;15;37;33
43;Haute-Loire;;8440;3788;4833;2714
43;Haute-Loire;;244;76;106;98
43;Haute-Loire;;162;45;98;55
43;Haute-Loire;;84;21;46;24
43;Haute-Loire;;171;51;78;77
43;Haute-Loire;;506;144;258;186
43;Haute-Loire;;49;12;22;20
43;Haute-Loire;;79;22;36;33
43;Haute-Loire;;336;96;162;127
43;Haute-Loire;;2336;569;1119;929
43;Haute-Loire;;437;102;216;161
43;Haute-Loire;;166;49;78;67
43;Haute-Loire;;1175;367;578;454
43;Haute-Loire;;70;18;37;26
43;Haute-Loire;;127;33;61;55
43;Haute-Loire;;298;76;149;109
43;Haute-Loire;;171;39;95;54
43;Haute-Loire;;40;8;20;11
43;Haute-Loire;;675;234;317;301
43;Haute-Loire;;175;41;77;73
43;Haute-Loire;;70;29;33;26
43;Haute-Loire;;121;61;60;49
43;Haute-Loire;;286;93;147;109
43;Haute-Loire;;45;6;20;17
43;Haute-Loire;;86;18;42;28
43;Haute-Loire;;1109;344;525;483
43;Haute-Loire;;46;14;18;17
43;Haute-Loire;;1961;657;917;815
43;Haute-Loire;;179;57;85;77
43;Haute-Loire;;52;16;23;21
43;Haute-Loire;;1786;624;1021;577
43;Haute-Loire;;262;65;126;109
43;Haute-Loire;;281;53;134;121
43;Haute-Loire;;798;201;378;327
43;Haute-Loire;;200;57;98;65
43;Haute-Loire;;4513;1212;2047;2024
44;Loire-Atlantique;;1111;442;581;407
44;Loire-Atlantique;;2392;607;1481;684
44;Loire-Atlantique;;6562;1839;4211;1699
44;Loire-Atlantique;;4143;1164;2134;1645
44;Loire-Atlantique;;1215;407;651;428
44;Loire-Atlantique;;1446;426;739;555
44;Loire-Atlantique;;6444;1408;4536;1408
44;Loire-Atlantique;;2360;660;1386;721
44;Loire-Atlantique;;2450;652;1508;713
44;Loire-Atlantique;;1839;521;871;773
44;Loire-Atlantique;;2460;633;1521;724
44;Loire-Atlantique;;5402;1754;2910;1868
44;Loire-Atlantique;;622;174;301;254
44;Loire-Atlantique;;4962;1148;3218;1282
44;Loire-Atlantique;;634;177;320;254
